"checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","property_magnitude","age","other_payment_plans","class"
"no checking",30,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"car",33,"none",1
">=200",24,"existing paid","radio/tv","500<=X<1000","1<=X<4",3,"car",57,"none",1
"0<=X<200",6,"existing paid","radio/tv","<100","1<=X<4",2,"real estate",64,"none",1
"0<=X<200",18,"delayed previously","business","no known savings",">=7",4,"life insurance",42,"none",1
"no checking",24,"delayed previously","new car","<100",">=7",4,"car",47,"none",2
"0<=X<200",15,"all paid","new car","100<=X<500","1<=X<4",2,"life insurance",25,"none",2
"0<=X<200",30,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance",49,"none",2
"no checking",48,"existing paid","business","<100","unemployed",3,"car",33,"bank",2
">=200",21,"existing paid","new car","100<=X<500","1<=X<4",1,"car",28,"bank",1
"<0",36,"existing paid","used car","<100","1<=X<4",2,"life insurance",26,"none",2
"no checking",24,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance",30,"none",1
"<0",15,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"life insurance",25,"none",1
">=200",42,"no credits/all paid","business","<100","<1",2,"life insurance",33,"none",1
"no checking",13,"existing paid","radio/tv","100<=X<500","unemployed",2,"real estate",64,"none",1
"<0",24,"existing paid","used car","<100","unemployed",4,"no known property",29,"none",1
"0<=X<200",24,"critical/other existing credit","radio/tv","<100",">=7",4,"life insurance",48,"none",1
"no checking",12,"critical/other existing credit","education","no known savings","<1",2,"life insurance",37,"none",1
"no checking",15,"all paid","radio/tv","100<=X<500",">=7",4,"car",34,"bank",1
"<0",18,"existing paid","radio/tv","no known savings","4<=X<7",2,"car",23,"none",1
"<0",36,"existing paid","furniture/equipment","<100","unemployed",4,"life insurance",30,"none",1
"no checking",12,"existing paid","new car","no known savings",">=7",4,"car",50,"none",1
"no checking",12,"existing paid","furniture/equipment","<100","4<=X<7",3,"real estate",31,"none",1
"<0",30,"existing paid","used car","<100","1<=X<4",4,"life insurance",40,"none",1
"no checking",12,"existing paid","radio/tv","<100",">=7",4,"car",38,"none",1
"<0",45,"existing paid","radio/tv","<100","1<=X<4",4,"no known property",23,"none",2
"0<=X<200",45,"critical/other existing credit","used car","100<=X<500","unemployed",3,"car",27,"none",1
