"checking_status","duration","credit_history","savings_status","employment","personal_status","other_payment_plans","job","foreign_worker","class","ID"
"0<=X<200",12,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,924
"<0",24,"all paid","<100","<1","male div/sep","bank","skilled","yes",2,925
"<0",12,"all paid","<100","<1","male single","none","skilled","yes",2,926
"<0",18,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,927
"<0",48,"existing paid","<100","4<=X<7","male single","stores","skilled","yes",2,928
"no checking",30,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,929
"<0",11.5,"delayed previously","<100","1<=X<4","male single","none","unskilled resident","yes",1,930
"<0",12,"existing paid","<100","<1","male single","none","unskilled resident","no",1,931
"0<=X<200",9,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,932
"no checking",9,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,933
"no checking",12,"critical/other existing credit","500<=X<1000",">=7","male single","none","skilled","yes",1,934
"<0",12,"existing paid","<100","1<=X<4","female div/dep/mar","bank","skilled","yes",1,935
"0<=X<200",30,"delayed previously","100<=X<500","<1","male single","stores","high qualif/self emp/mgmt","yes",2,936
">=200",9,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,937
"0<=X<200",6,"existing paid","<100","<1","male mar/wid","none","high qualif/self emp/mgmt","yes",1,938
"0<=X<200",36,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,939
"no checking",24,"critical/other existing credit","no known savings","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,940
"no checking",12,"existing paid","no known savings","<1","male single","none","high qualif/self emp/mgmt","yes",1,941
"no checking",10,"existing paid","<100","1<=X<4","male single","none","unskilled resident","no",1,942
"no checking",24,"existing paid","no known savings","4<=X<7","male single","stores","skilled","yes",1,943
"no checking",4,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,944
"<0",15,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,945
"0<=X<200",48,"no credits/all paid","500<=X<1000","<1","female div/dep/mar","none","skilled","yes",1,946
"<0",18,"all paid","500<=X<1000","<1","male single","none","skilled","yes",2,947
"no checking",19.5,"existing paid","no known savings","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,948
"no checking",18,"existing paid","<100","<1","male mar/wid","none","unskilled resident","yes",2,949
"no checking",24,"existing paid","100<=X<500",">=7","male single","none","skilled","yes",2,950
"0<=X<200",18,"critical/other existing credit","<100","unemployed","male mar/wid","none","unemp/unskilled non res","yes",1,951
"<0",36,"delayed previously","<100","4<=X<7","male single","none","skilled","yes",2,952
"0<=X<200",24,"existing paid","500<=X<1000","<1","female div/dep/mar","none","skilled","yes",2,953
"no checking",36,"existing paid","<100","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,954
"<0",12,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,955
"<0",24,"critical/other existing credit",">=1000",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,956
">=200",30,"critical/other existing credit","no known savings",">=7","male single","stores","unskilled resident","yes",1,957
"0<=X<200",9,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,958
"<0",28,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,959
"0<=X<200",24,"existing paid","100<=X<500",">=7","male single","none","skilled","yes",1,960
"no checking",6,"critical/other existing credit","<100",">=7","male mar/wid","none","skilled","yes",1,961
"0<=X<200",21,"delayed previously","<100","1<=X<4","male div/sep","none","skilled","yes",1,962
"no checking",15,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,963
"no checking",24,"existing paid","500<=X<1000",">=7","male single","bank","skilled","yes",2,964
"0<=X<200",6,"existing paid","<100","<1","male mar/wid","none","unskilled resident","yes",1,965
"0<=X<200",30,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,966
"0<=X<200",27,"critical/other existing credit","500<=X<1000","1<=X<4","male single","none","unskilled resident","yes",2,967
"no checking",15,"existing paid","<100",">=7","female div/dep/mar","bank","high qualif/self emp/mgmt","yes",1,968
"no checking",19.5,"existing paid","no known savings","4<=X<7","male mar/wid","none","skilled","yes",1,969
"<0",11,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","yes",1,970
"0<=X<200",15,"existing paid","100<=X<500","1<=X<4","male single","none","skilled","yes",1,971
"no checking",24,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,972
"<0",24,"all paid","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",2,973
"<0",60,"existing paid","<100",">=7","male single","none","skilled","yes",2,974
"no checking",30,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,975
">=200",24,"existing paid","500<=X<1000","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,976
"0<=X<200",6,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,977
"0<=X<200",18,"delayed previously","no known savings",">=7","male single","none","skilled","yes",1,978
"0<=X<200",24,"delayed previously","<100",">=7","male single","none","unskilled resident","yes",2,979
"0<=X<200",15,"all paid","100<=X<500","1<=X<4","male mar/wid","none","skilled","yes",2,980
"0<=X<200",30,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",2,981
"no checking",48,"existing paid","<100","unemployed","male single","bank","high qualif/self emp/mgmt","yes",2,982
">=200",16.5,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","bank","high qualif/self emp/mgmt","yes",1,983
"<0",36,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,984
"0<=X<200",24,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,985
"<0",15,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,986
">=200",42,"no credits/all paid","<100","<1","male div/sep","none","skilled","yes",1,987
"no checking",13,"existing paid","100<=X<500","unemployed","female div/dep/mar","none","skilled","yes",1,988
"<0",24,"existing paid","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,989
"0<=X<200",24,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,990
"no checking",12,"critical/other existing credit","no known savings","<1","male single","none","unskilled resident","yes",1,991
"no checking",15,"all paid","100<=X<500",">=7","male single","bank","unskilled resident","yes",1,992
"<0",18,"existing paid","no known savings","4<=X<7","male mar/wid","none","unskilled resident","yes",1,993
"<0",36,"existing paid","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,994
"no checking",12,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,995
"no checking",12,"existing paid","<100","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,996
"<0",30,"existing paid","<100","1<=X<4","male div/sep","none","high qualif/self emp/mgmt","yes",1,997
"no checking",12,"existing paid","<100",">=7","male single","none","skilled","yes",1,998
"<0",45,"existing paid","<100","1<=X<4","male single","none","skilled","yes",2,999
"0<=X<200",45,"critical/other existing credit","100<=X<500","unemployed","male single","none","skilled","yes",1,1000
